date,stock,Sentiment_score,headline_count
2025-04-02,SUNPHARMA,0.0,0
2025-04-02,TATACONSUM,0.0,0
2025-04-02,TATASTEEL,0.0,0
2025-04-02,TCS,0.0,0
2025-04-02,TECHM,0.0,0
2025-04-02,TITAN,0.0,0
2025-04-02,TMPV,0.0,0
2025-04-02,TRENT,0.0,0
2025-04-02,ULTRACEMCO,0.0,0
2025-04-02,WIPRO,0.0,0
2025-04-03,ADANIENT,0.0,0
2025-04-03,ADANIPORTS,0.0,0
2025-04-03,APOLLOHOSP,0.0,0
2025-04-03,ASIANPAINT,0.0,0
2025-04-03,AXISBANK,0.0,0
2025-04-03,BAJAJ-AUTO,0.0,0
2025-04-03,BAJAJFINSV,0.0,0
2025-04-03,BAJFINANCE,0.0,0
2025-04-03,BEL,0.0,0
2025-04-03,BHARTIARTL,0.0,0
2025-04-03,CIPLA,0.0,0
2025-04-03,COALINDIA,0.0,0
2025-04-03,DRREDDY,0.0,0
2025-04-03,EICHERMOT,0.0,0
2025-04-03,ETERNAL,0.0,0
2025-04-03,GRASIM,0.0,0
2025-04-03,HCLTECH,0.0,0
2025-04-03,HDFCBANK,0.0,0
2025-04-03,HDFCLIFE,0.0,0
2025-04-03,HINDALCO,0.0,0
2025-04-03,HINDUNILVR,0.0,0
2025-04-03,ICICIBANK,0.0,0
2025-04-03,INDIGO,0.0,0
2025-04-03,INFY,0.0,0
2025-04-03,ITC,0.0,0
2025-04-03,JIOFIN,0.0,0
2025-04-03,JSWSTEEL,0.0,0
2025-04-03,KOTAKBANK,0.0,0
2025-04-03,LT,0.0,0
2025-04-03,M&M,0.0,0
2025-04-03,MARUTI,0.0,0
2025-04-03,MAXHEALTH,0.0,0
2025-04-03,NESTLEIND,0.0,0
2025-04-03,NTPC,0.0,0
2025-04-03,ONGC,0.0,0
2025-04-03,POWERGRID,0.0,0
2025-04-03,RELIANCE,0.0,0
2025-04-03,SBILIFE,0.0,0
2025-04-03,SBIN,0.0,0
2025-04-03,SHRIRAMFIN,0.0,0
2025-04-03,SUNPHARMA,0.0,0
2025-04-03,TATACONSUM,0.0,0
2025-04-03,TATASTEEL,0.0,0
2025-04-03,TCS,0.0,0
2025-04-03,TECHM,0.0,0
2025-04-03,TITAN,0.0,0
2025-04-03,TMPV,0.0,0
2025-04-03,TRENT,0.0,0
2025-04-03,ULTRACEMCO,0.0,0
2025-04-03,WIPRO,0.0,0
2025-04-04,ADANIENT,0.0,0
2025-04-04,ADANIPORTS,0.0,0
2025-04-04,APOLLOHOSP,0.0,0
2025-04-04,ASIANPAINT,0.0,0
2025-04-04,AXISBANK,0.0,0
2025-04-04,BAJAJ-AUTO,0.0,0
2025-04-04,BAJAJFINSV,0.0,0
2025-04-04,BAJFINANCE,0.0,0
2025-04-04,BEL,0.0,0
2025-04-04,BHARTIARTL,0.0,0
2025-04-04,CIPLA,0.0,0
2025-04-04,COALINDIA,0.0,0
2025-04-04,DRREDDY,0.0,0
2025-04-04,EICHERMOT,0.0,0
2025-04-04,ETERNAL,0.0,0
2025-04-04,GRASIM,0.0,0
2025-04-04,HCLTECH,0.0,0
2025-04-04,HDFCBANK,0.0,0
2025-04-04,HDFCLIFE,0.0,0
2025-04-04,HINDALCO,0.0,0
2025-04-04,HINDUNILVR,0.0,0
2025-04-04,ICICIBANK,0.0,0
2025-04-04,INDIGO,0.0,0
2025-04-04,INFY,0.0,0
2025-04-04,ITC,0.0,0
2025-04-04,JIOFIN,0.0,0
2025-04-04,JSWSTEEL,0.0,0
2025-04-04,KOTAKBANK,0.0,0
2025-04-04,LT,0.0,0
2025-04-04,M&M,0.0,0
2025-04-04,MARUTI,0.0,0
2025-04-04,MAXHEALTH,0.0,0
2025-04-04,NESTLEIND,0.0,0
2025-04-04,NTPC,0.0,0
2025-04-04,ONGC,0.0,0
2025-04-04,POWERGRID,0.0,0
2025-04-04,RELIANCE,0.0,0
2025-04-04,SBILIFE,0.0,0
2025-04-04,SBIN,0.0,0
2025-04-04,SHRIRAMFIN,0.0,0
